Compound Name,Formula,Water Solubility (mg/L),Water Solubility (g/L)
P-Diethylbenzene,C10H14,24.8,0.0248
P-Difluorobenzene,C6H4F2,1220,1.22
P-Dinitrobenzene,C6H4N2O4,69,0.069
P-Dodecylaniline,C18H31N,600,0.6
Pebulate,C10H21NOS,100,0.1
Pefurazoate,C18H23N3O4,443,0.443
"Peg-1 Nonyl Phenyl Ether Sulfate, Sodium Salt",C27H47NaO10S,100000,100
Penbutolol,C18H29NO2,7000,7
Pencillamine,C5H11NO2S,111000,111
Penconazole,C13H15Cl2N3,73,0.073
Pencycuron,C19H21ClN2O,30,0.03
Pendimethalin,C13H19N3O4,33,0.033
Penethamate Hydriodide,C22H32IN3O4S,9600,9.6
Penicillic Acid,C8H10O4,20000,20
Penoxsulam,C16H14F5N5O5S,4.9,0.0049
Pentachlorobenzene,C6HCl5,83.1,0.0831
Pentachlorobenzyl Alcohol,C7H3Cl5O,2,0.002
Pentachlorodibenzo-p-Dioxin,C12H3Cl5O2,12000,12
Pentachloroethane,C2HCl5,490,0.49
Pentachloronitrobenzene,C6Cl5NO2,44,0.044
Pentachlorophenol,C6HCl5O,14,0.014
"Pentachlorophenol, Na Salt",C6Cl5NaO,330000,330
Pentaerythritol,C5H12O4,72300,72.3
Pentaerythritol Tetranitrate,C5H8N4O12,43,0.043
Pentamethylbenzene,C11H16,15.5,0.0155
"Pentanal, 5-Methoxy-",C6H12O2,333000,333
"Pentanamide, 2-Bromo-2-Propyl-",C8H16BrNO,3300,3.3
"Pentanamide, N-(aminocarbonyl)-2-Bromo-",C6H11BrN2O2,8330,8.33
"Pentanamide, N,n'-1,2-Ethanediylbis-",C12H24N2O2,3500,3.5
"Pentane-1,5-Dial",C5H8O2,1000000,1000
"Pentane, 3,3-Bis(ethylsulfonyl)-",C9H20O4S2,2220,2.22
Pentanediamide,C5H10N2O2,71000,71
Pentanedinitrile,C5H6N2,1000000,1000
"Pentanedinitrile, 2-Bromo-2-(bromomethyl)-",C6H6Br2N2,2120,2.12
Pentanedioc Acid,C5H8O4,1600000,1600
"Pentanedioic Acid, 2,2-Diphenyl-",C17H16O4,1000000,1000
"Pentanedioic Acid, 2,4-Diethyl-",C9H16O4,15300,15.3
"Pentanedioic Acid, 2,4-Dimethyl-",C7H12O4,56000,56
"Pentanedioic Acid, 3-Oxo-",C5H6O5,500000,500
"Pentanedioic Acid, Dimethyl Ester",C7H12O4,59000,59
Pentanochlor,C13H18ClNO,8.5,0.0085
Pentanoic Acid,C5H10O2,24000,24
"Pentanoic Acid, 2-Methyl-",C6H12O2,15000,15
"Pentanoic Acid, 3-Hydroxy-2,2,4-Trimethyl-",C8H16O3,20300,20.3
"Pentanoic Acid, 4-Amino-, (.+-.)-",C5H11NO2,405000,405
"Pentanoic Acid, 4-Nitrophenyl Ester",C11H13NO4,9,0.009
"Pentanoic Acid, 4-Oxo-3-(phenylmethylene)-",C12H12O3,5000,5
Penthienate Bromide,C18H30BrNO3S,200000,200
Pentobarbital,C11H18N2O3,679,0.679
Pentoxazone,C17H17ClFNO4,21.6,0.0216
Pentoxifylline,C13H18N4O3,77000,77
Pentrinitrol,C5H9N3O10,7050,7.05
Pentylbenzene,C11H16,3.37,0.00337
Pentyl Butyrate,C9H18O2,60,0.06
Pentylmalonic Acid,C8H14O4,681000,681
Perchloropropylene,C3Cl6,17,0.017
Perfluidone,C14H12F3NO4S2,60,0.06
Perfluorocyclobutane,C4F8,23.6,0.0236
Perfluorooctanoic Acid,C8HF15O2,9500,9.5
Pericyazine,C21H23N3OS,38,0.038
Periplocin,C36H56O13,8000,8
Permethrin,C21H20Cl2O3,111,0.111
"Peroxide, Bis(1-Methyl-1-Phenylethyl)",C18H22O2,46,0.046
"Peroxide, Bis(1-Oxopropyl)",C6H10O4,15900,15.9
Peroxyacetic Acid,C2H4O3,1000000,1000
Peroxyformic Acid,CH2O3,1000000,1000
Perphenazine,C21H26ClN3OS,28.3,0.0283
(+)-Perseitol,C7H16O7,64600,64.6
Peruvoside,C30H44O9,400,0.4
Perylene,C20H12,40000,40
P-Ethylphenol,C8H10O,4900,4.9
P-Ethyltoluene,C9H12,94.9,0.0949
P-Fluorobenzoic Acid,C7H5FO2,1200,1.2
P-Fluorobenzyl Chloride,C7H6ClF,413,0.413
Phalloidin,C35H48N8O11S,5000,5
Phenacaine Hydrochloride,C18H22N2O2,20000,20
Phenallymal,C13H12N2O3,1720,1.72
Phenanthrene,C14H10,1.15,0.00115
Phenanthridine,C13H9N,300,0.3
Phenazine-1-Carboxylic Acid,C13H8N2O2,60.5,0.0605
Phenbutamide,C11H16N2O3S,231,0.231
Phenisopham,C19H22N2O4,3,0.003
Phenmedipham,C16H16N2O4,4.7,0.0047
Phenobarbital,C12H12N2O3,1110,1.11
Phenol,C6H6O,82800,82.8
"Phenol,2,2'-Methylenebis 4-Chloro-",C13H10Cl2O2,30,0.03
"Phenol, 2,2'-Sulfonylbis-",C12H10O4S,120,0.12
"Phenol, 2,2'-Thiobis 4,6-Dichloro-",C12H6Cl4O2S,4,0.004
"Phenol, 2,3,4,6-Tetrachloro-5-Methyl-",C7H4Cl4O,6.15,0.00615
"Phenol, 2,4-Dichloro-3,5-Dimethyl-",C8H8Cl2O,200,0.2
"Phenol, 2,4-Dichloro-6-(phenylmethyl)-",C13H10Cl2O,5.8,0.0058
"Phenol, 2-Iodo-4-Methyl-",C7H7IO,800,0.8
"Phenol, 2-Iodo-6-Methyl-",C7H7IO,3400,3.4
"Phenol, 2-Methyl-5-(1-Methylethyl)-",C10H14O,1250,1.25
"Phenol, 2-Methyl-5-Nitro-",C7H7NO3,1000,1
"Phenol, 2-Phenoxy-",C12H10O2,110,0.11
"Phenol, 3-(1,1-Dimethylethyl)-",C10H14O,2070,2.07
"Phenol, 3,5-Dichloro-2,4,6-Trinitro-",C6HCl2N3O7,74000,74
"Phenol, 3-Amino-",C6H7NO,27000,27
"Phenol, 4-(2-Aminoethyl)-2-Nitro-",C8H10N2O3,8330,8.33
"Phenol, 4,4'-(3-Methylbutylidene)bis-",C17H20O2,110,0.11
"Phenol, 4,4',4""-[(2,4,6-Trimethyl-1,3,5-Benzenet",C54H78O3,1.2,0.0012
"Phenol, 4-Amino-",C6H7NO,16000,16
"Phenol, 4-Amino-2,6-Dinitro-",C6H5N3O5,820,0.82
"Phenol, 4-Bromo-3-Methyl-",C7H7BrO,1700,1.7
"Phenol, 4-Chloro-2,6-Dimethyl-",C8H9ClO,3300,3.3
"Phenol, 4-Chloro-3,5-Dimethyl-2-(phenylmethyl)-",C15H15ClO,12.3,0.0123
"Phenol, 4-Methyl-2-(1-Methylethyl)-",C10H14O,1660,1.66
"Phenol, 4-(phenylthio)-",C12H10OS,340,0.34
Phenolphthalein,C20H14O4,400,0.4
Phenolsulphonephthalein,C19H14O5S,770,0.77
Phenothiazine,C12H9NS,1.59,0.00159
"Phenothiazine, 3-Iodo-",C12H8INS,384,0.384
Phenothrin,C23H26O3,9700,9.7
"Phenoxazin-5-Ium, 1,3-Diamino-7-(diethylamino)-8",C17H21ClN4O,55000,55
Phenoxyacetic Acid,C8H8O3,12000,12
"Phenoxyacetic Acid,4-Cyclohexyl",C14H18O3,75,0.075
Phentolamine Hydrochloride,C17H20ClN3O,20000,20
Phenyl 2-Hydroxybenzoate,C13H10O3,150,0.15
Phenyl-4-Aminosalicylate,C13H11NO3,7,0.007
Phenylacetic Acid,C8H8O2,16600,16.6
Phenylacetonitrile,C8H7N,100,0.1
Phenylalanine,C9H11NO2,26300,26.3
"Phenylalanine, 2-Hydroxy-",C9H11NO3,2000,2
Phenylbutazone,C19H20N2O2,34,0.034
Phenyldiethanolamine,C10H15NO2,33400,33.4
Phenylethanolamine,C8H11NO,45800,45.8
Phenyl Glydidyl Ether,C9H10O2,2400,2.4
Phenyl Hydrazine,C6H8N2,127000,127
Phenylhydroxylamine,C6H7NO,40000,40
Phenylisothiocyanate,C7H5NS,89.9,0.0899
Phenylmercuric Acetate,C8H8HgO2,4370,4.37
Phenylmercuric Hydroxide,C6H6HgO,14000,14
Phenylmercury Dimethyl Dithiocarbamate,C10H13HgNS2,6,0.006
Phenylphosphinic Acid,C6H7O2P,67600,67.6
Phenylphosphonic Acid,C6H7O3P,190000,190
Phenytoin,C15H12N2O2,32,0.032
Phillyrin,C27H34O11,400,0.4
Phloretin,C15H14O5,123,0.123
Phloridzin,C21H24O10,1000,1
Pholcodine,C23H30N2O4,20000,20
Phorate,C7H17O2PS3,50,0.05
Phorate Sulfone,C7H17O4PS3,861,0.861
Phorate Sulfoxide,C7H17O3PS3,8000,8
Phosalone,C12H15ClNO4PS2,3.05,0.00305
Phosdiphen,C14H11Cl4O4P,70,0.07
Phosmet,C11H12NO4PS2,24.4,0.0244
Phosmethylan,C13H19ClNO3PS2,2.3,0.0023
Phosphamidon,C10H19ClNO5P,1000000,1000
"Phosphinic Acid, Di-4-Morpholinyl-, Phenyl Ester",C14H21N2O4P,771000,771
"Phosphinic Acid, Dibutyl-, Butyl Ester",C12H27O2P,4500,4.5
"Phosphinic Acid, Dibutyl-, Ethyl Ester",C10H23O2P,13000,13
"Phosphinic Acid, Mesityl-",C9H13O2P,299,0.299
"Phosphonic Acid, (1,6-Hexanediylbis(nitrilobis(m",C10H28N2O12P4,15000,15
"Phosphonic Acid, (1-Hydroxyethylidene)bis-",C2H8O7P2,690000,690
"Phosphonic Acid, 1-Naphthalenyl-",C10H9O3P,5000,5
"Phosphonic Acid, (3-Aminophenyl)-",C6H8NO3P,4300,4.3
"Phosphonic Acid, 3-(nitrophenyl)-",C6H6NO5P,980000,980
"Phosphonic Acid, [[4-(2-Benzothiazolyl)phenyl]me",C18H20NO3PS,36,0.036
"Phosphonic Acid, 4-Morpholinyl-, Diphenyl Ester",C16H18NO4P,2300,2.3
"Phosphonic Acid, Ethyl-, Dibutyl Ester",C10H23O3P,6000,6
"Phosphonic Acid, Hexyl-, Diethyl Ester",C10H23O3P,600,0.6
"Phosphonic Acid, Methyl-, Diisopropyl Ester",C7H17O3P,1500,1.5
"Phosphonic Acid, Methyl-, Dimethyl Ester",C3H9O3P,1000000,1000
"Phosphonic Acid, Phenyl, Di-2-Propenyl Ester",C12H15O3P,300,0.3
"Phosphonic Acid, (trichloromethyl)-, Diethyl Est",C5H10Cl3O3P,4500,4.5
"Phosphonic Diamide, P-(5-Amino-3-Phenyl-1h-1,2,4",C12H19N6OP,250,0.25
"Phosphonic Diamide, P-Phenyl-",C6H9N2OP,11100,11.1
Phosphonoacetic Acid,C2H5O5P,392000,392
"Phosphonothioic Dihydrazide, P-Phenyl-",C6H11N4PS,7600,7.6
"Phosphoramidic Acid, (4-Methyl-1,3-Dithiolan-2-y",C8H16NO3PS2,57,0.057
"Phosphoric Acid, (1z)-2-Chloro-3-(diethylamino)-",C10H19ClNO5P,1,0.001
"Phosphoric Acid,2-Chloro-(2,4-Dichlorophenyl)vin",C10H10Cl3O4P,130,0.13
"Phosphoric Acid, Bis(methylphenyl) Phenyl Ester",C20H19O4P,15,0.015
"Phosphoric Acid, Butyl Diethyl Ester",C8H19O4P,15000,15
"Phosphoric Acid, Dibutyl 4-Ethoxybutyl Ester",C14H31O5P,700,0.7
"Phosphoric Acid, Dibutyl Ethyl Ester",C10H23O4P,3400,3.4
"Phosphoric Acid, Dibutyl Methyl Ester",C9H21O4P,7100,7.1
"Phosphoric Acid, Diethyl 2-Methylpropyl Ester",C8H19O4P,14000,14
"Phosphoric Acid, Diethyl Propyl Ester",C7H17O4P,500000,500
"Phosphoric Acid, Dimethyl Propyl Ester",C5H13O4P,500000,500
"Phosphoric Acid, Ethyl Dimethyl Ester",C4H11O4P,500000,500
"Phosphoric Acid, Ethyl Dipropyl Ester",C8H19O4P,22000,22
"Phosphoric Acid, Methyl Dipropyl Ester",C7H17O4P,43000,43
"Phosphoric Acid, Monosodium Salt",H2NaO4P,487000,487
"Phosphorodithioic Acid, O,o-Diphenyl Ester",C12H11O2PS2,240000,240
"Phosphorodithioic Acid, S-[2-(ethylsulfinyl)ethy",C6H15O3PS3,32000,32
"Phosphorodithioic Acid, S-[2-(ethylsulfonyl)ethy",C6H15O4PS3,800,0.8
"Phosphorohydrazidic Acid, Diphenyl Ester",C12H13N2O3P,1530,1.53
"Phosphorothioic Acid, O-(dichloro(methylthio)phe",C11H15Cl2O3PS2,30,0.03
Phosphorus,H3P,3.3,0.0033
Phoxim,C12H15N2O3PS,4.1,0.0041
Phthalazine,C8H6N2,50000,50
"Phthalic Acid, 3,4-Dimethoxy-, 2-Ethyl Ester",C12H14O6,1420,1.42
"Phthalic Acid, 3-Nitro-, 2-Butyl Ester",C12H13NO6,510,0.51
"Phthalic Acid, 3-Nitro-, 2 Ethyl Ester",C10H9NO6,2900,2.9
"Phthalic Acid, 3-Nitro-, 2-Isobutyl Ester",C12H13NO6,240,0.24
"Phthalic Acid, 3-Nitro-, 2-Isopropyl Ester",C11H11NO6,820,0.82
"Phthalic Acid, 3-Nitro-, 2-Propyl Ester",C11H11NO6,1140,1.14
"Phthalic Acid, 3-Nitro-, Isopentyl Ester",C13H15NO6,240,0.24
"Phthalic Acid, 3-Sulfamoyl-",C8H7NO6S,3300,3.3
"Phthalic Acid, 4-Nitro-, 1-Methyl Ester",C9H7NO6,1980,1.98
"Phthalic Acid, 4-Nitro-, 2-Methyl Ester",C9H7NO6,4280,4.28
"Phthalic Acid, Bis(2,2,2-Trinitroethyl) Ester",C12H8N6O16,130,0.13
Phthalic Anhydride,C8H4O3,6000,6
"Phthalide, 3-Ethyl-6-Nitro-",C10H9NO4,584,0.584
"Phthalide, 4-Bromo-6,7-Dimethoxy-",C10H9BrO4,32,0.032
Phthalimide,C8H5NO2,360,0.36
"Phthalimidine, 6,7-Dimethoxy-2-Methyl-",C11H13NO3,250000,250
Phthalonic Acid,C9H6O5,644000,644
Phthalthrin,C19H25NO4,1.83,0.00183
Phthalylsulfathiazole,C17H13N3O5S2,590,0.59
P-Hydroxyacetophenone,C8H8O2,9900,9.9
P-Hydroxybenzoic Acid,C7H6O3,5000,5
"P-Hydroxybenzoic Acid,ethyl Ester",C9H10O3,885,0.885
P-Hydroxybenzyl Alcohol,C7H8O2,6700,6.7
P-Hydroxy Butyl Benzoate,C11H14O3,207,0.207
P-Hydroxyphenylacetic Acid,C8H8O3,60700,60.7
P-Hydroxypropiophenone,C9H10O2,345,0.345
P-Hydroxy Propyl Benzoate,C10H12O3,500,0.5
"Physostigmine, Monosalicylate",C22H27N3O5,13800,13.8
Phytic Acid,C6H18O24P6,1000000,1000
Picein,C14H18O7,20000,20
Picene,C22H14,4310,4.31
Picloram,C6H3Cl3N2O2,560,0.56
"Picloram, Potassium Salt",C6H2Cl3KN2O2,400000,400
Picolinic Acid,C6H5NO2,960000,960
Picrolonic Acid,C10H8N4O5,9000,9
Picropodophyllin,C22H22O8,100,0.1
Picrotoxin,C30H34O13,4100,4.1
"Pilocarpine, Monohydrochloride",C11H17ClN2O2,1000000,1000
Pimaricin (natamycin),C33H47NO13,4100,4.1
Pimelic Acid,C7H12O4,50000,50
Pimozide,C28H29F2N3O,10,0.01
Pindone,C14H14O3,18,0.018
Pinoxaden,C23H32N2O4,200,0.2
Pipemidic Acid,C14H17N5O3,322,0.322
Piperalin,C16H21Cl2NO2,20,0.02
Piperazine,C4H10N2,1000000,1000
"Piperazine-2,5-Dione, 3-Methyl-",C5H8N2O2,250000,250
"Piperazine, 2-Methyl-",C5H12N2,435000,435
Piperazine Hydrochloride,C4H12Cl2N2,410000,410
"Piperidine, 1,1'-(1,2-Ethanediyl)bis-",C12H24N2,50000,50
"Piperidine, 1-[(benzoyloxy)acetyl]-",C14H17NO3,780,0.78
"Piperidine, 1-(cyanoacetyl)-",C8H12N2O,18500,18.5
"Piperidine, 1-(phenylsulfonyl)-",C11H15NO2S,655,0.655
"Piperidine, 3-Ethyl-,",C7H15N,51000,51
"Piperidine, 3-Propyl-,",C7H16N2,12500,12.5
Piperonal,C8H6O3,3500,3.5
Piperonyl Butoxide,C19H30O5,14.3,0.0143
Piperophos,C14H28NO3PS2,25,0.025
P-i-Propyltoluene,C10H14,23.4,0.0234
Pirimicarb,C11H18N4O2,2700,2.7
Pirimiphos Ethyl,C13H24N3O3PS,2.3,0.0023
Pirimiphos-Methyl,C11H20N3O3PS,10,0.01
Piroxicam,C15H13N3O4S,23,0.023
Plinol,C10H18O,1480,1.48
P-Menthane,C10H20,28,0.028
P-Meo-b-Phenylpropionic Acid,C10H12O3,1100,1.1
P-Methoxyacetanilide,C9H11NO2,15100,15.1
P-Methoxybenzoic Acid,C8H8O3,530,0.53
P-Methoxybenzyl Alcohol,C8H10O2,2000,2
P-Methoxycinnamic Acid (trans),C10H10O3,1970,1.97
P-Methoxyphenol,C7H8O2,19500,19.5
P-Methylacetophenone,C9H10O,372,0.372
P-Methylaminophenol Sulfate,C7H11NO4S,50000,50
P-Methyl Benzyl Alcohol,C8H10O,7710,7.71
P-Methylphenoxyacetic Acid,C9H10O3,1200,1.2
P-Methylstyrene,C9H10,89,0.089
P-Methylsulfonyltoluene,C8H10O2S,1750,1.75
P-Nitroanisole,C7H7NO3,590,0.59
P-Nitrobenzoic Acid,C7H5NO4,200,0.2
P-Nitrobenzyl Alcohol,C7H7NO3,2000,2
P-Nitrobiphenyl,C12H9NO2,1.23,0.00123
P-Nitrosalicylic Acid,C7H5NO5,1300,1.3
P-Nitrotoluene,C7H7NO2,361,0.361
P-Nonylphenol,C15H24O,7,0.007
Polyoxin B,C17H25N5O13,1000000,1000
Ponceau Mx,C18H14N2Na2O7S2,80000,80
Populin,C20H22O8,500,0.5
Porphazinamide,C10H14N4O2,333000,333
Potassium Bicarbonate,CHKO3,263000,263
Potassium Binoxalate,C2HKO4,25000,25
Potassium Biphthalate,C8H5KO4,83300,83.3
Potassium Bitartrate,C4H5KO6,6170,6.17
Potassium Bromate,BrKO3,69000,69
Potassium Carbonate,CK2O3,500000,500
Potassium Chlorate,ClKO3,70000,70
Potassium Citrate,C6H5K3O7,606000,606
Potassium Cyanate,CKNO,630000,630
Potassium Cyanide,CKN,720000,720
Potassium Formate,CHKO2,714000,714
Potassium Iodate,IKO3,91600,91.6
Potassium Oxalate,C2K2O4,250000,250
Potassium Percarbonate,C2K2O6,66600,66.6
Potassium Perchlorate,ClKO4,15000,15
Potassium Permanganate,KMnO4,64000,64
Potassium Salicylate,C7H5KO3,558000,558
Potassium Sodium Tartrate,C4H4KNaO6,526000,526
"P,p'-Ddd",C14H10Cl4,900,0.9
"P,p'-Dde",C14H8Cl4,400,0.4
"P,p'-Ddt",C14H9Cl5,5500,5.5
P-Phenacetin,C10H13NO2,766,0.766
P-Phenylazoaniline,C12H11N3,32,0.032
P-Phenylazophenol,C12H10N2O,90,0.09
P-Phenylphenol,C12H10O,56.2,0.0562
Pralidoxime Iodide [usan:inn:jan],C7H9IN2O,48000,48
Prallethrin,C19H24O3,8,0.008
Prasterone,C19H28O2,63.5,0.0635
Praziquantel,C19H24N2O2,400,0.4
Prazosin Hydrochloride,C19H21ClN5O4,1400,1.4
Prednisolone,C21H28O5,223,0.223
Prednisolone 21-Trimethylacetate,C26H36O6,11.6,0.0116
Prednisolone Acetate,C23H30O6,17.2,0.0172
"Preg-4-Ene-3,20-Dione, 11-Hydroxy-, (11.alpha.)-",C21H30O3,50,0.05
Pregnenolone,C21H32O2,7.06,0.00706
Prenylamine,C24H27N,50,0.05
Pretilchlor,C17H26ClNO2,50,0.05
Primidone,C12H14N2O2,500,0.5
Primisulfuron-Methyl,C15H12F4N4O7S,3.3,0.0033
Probarbital,C9H14N2O3,1210,1.21
Probenazole,C10H9NO3S,150,0.15
Procaine,C13H20N2O2,9450,9.45
Prochloraz,C15H16Cl3N3O2,34,0.034
Prochloroperazine,C20H24ClN3S,15,0.015
Procion Blue Mx-r,C23H14Cl2N6O8S2,1000000,1000
Procymidone,C13H11Cl2NO2,4.5,0.0045
Prodiamine,C13H17F3N4O4,130,0.13
Profenofos,C11H15BrClO3PS,28,0.028
Proflavine Hydrochloride,C13H11N3,4000,4
Profluralin,C14H16F3N3O4,10,0.01
Progesterone,C21H30O2,8.81,0.00881
Proglinazine Ethyl,C10H16ClN5O2,750,0.75
Prohexadione Calcium,C12H16O5,174,0.174
Proline,C5H9NO2,162000,162
Promazine,C17H20N2S,14.2,0.0142
Promazine Hydrochloride,C17H21ClN2S,250000,250
Promethazine,C17H20N2S,15.6,0.0156
Prometon,C10H19N5O,750,0.75
Prometryne,C10H19N5S,33,0.033
Pronamide,C12H11Cl2NO,15,0.015
Propachlor,C11H14ClNO,580,0.58
Propagermanium,C6H10Ge2O7,10900,10.9
Propamocarb,C9H20N2O2,900000,900
Propamocarb Hcl,C9H21ClN2O2,1000000,1000
"Propanal, 2,3-Dihydroxy-, (?)-",C3H6O3,29200,29.2
"Propanal, 2-(hydroxyimino)-, Oxime",C3H6N2O2,46000,46
"Propanamide, 2,2'-Oxybis-",C6H12N2O3,125000,125
"Propanamide, 2,2'-Thiobis-",C6H12N2O2S,21000,21
"Propanamide, 2,3-Dichloro-",C3H5Cl2NO,43500,43.5
"Propanamide, 2-[[(benzoyloxy)acetyl]amino]-",C12H14N2O4,480,0.48
"Propanamide, 2-(benzoyloxy)-N,n-Diethyl-, (?)-",C14H19NO3,1300,1.3
"Propanamide, 2-Hydroxy-",C3H7NO2,782000,782
"Propanamide, 2-Hydroxy-n-Octadecyl-",C21H43NO2,30,0.03
"Propanamide, 2-Hydroxy-n-Pentyl-",C8H17NO2,66000,66
"Propanamide, 2-Hydroxy-n-Tetradecyl-",C17H35NO2,30,0.03
"Propanamide, 2-Oxo-n-Phenyl-",C9H9NO2,7000,7
"Propanamide, 3-(benzoyloxy)-N,n-Dimethyl-",C12H15NO3,17600,17.6
"Propanamide, N-(1-Oxopropyl)-",C6H11NO2,2500,2.5
"Propanamide, N-(5-Chloro-4-Methyl-2-Thiazolyl)-",C7H9ClN2OS,30,0.03
"Propanamide, N-Acetyl-",C5H9NO2,18000,18
"Propanamide, N-(chloroacetyl)-",C5H8ClNO2,1200,1.2
"Propanamide, N-Hexadecyl-2-Hydroxy-",C19H39NO2,70,0.07
"Propanamide, N,n'-1,2-Ethanediylbis-",C8H16N2O2,408000,408
Propane,C3H8,62.4,0.0624
"Propane, 1,2,2,3-Tetrachloro-",C3H4Cl4,480,0.48
"Propane, 1,3-Dibromo-2,2-Bis(bromomethyl)-",C5H8Br4,1.6,0.0016
"Propane, 1-Isothiocyanato-3-(methylsulfonyl)-",C5H9NO2S2,14000,14
Propane-1-Thiosulfinic Acid S-Propyl Ester,C6H14OS2,20000,20
"Propane, 2,2-Bis(methylsulfonyl)-",C5H12O4S2,7100,7.1
Propane-2-Thiosulfinic Acid S-Isopropyl Ester,C6H14OS2,25000,25
Propanediamide,C3H6N2O2,83000,83
"Propanediamide, 2,2-Diethyl-",C7H14N2O2,10000,10
"Propanediamide, 2,2-Dihydroxy-N,n'-Bis(4-Methylp",C17H18N2O4,250,0.25
"Propanediamide, 2-(hydroxyimino)-",C3H5N3O3,120000,120
"Propanedioic Acid, Aminomethyl-",C4H7NO4,1000000,1000
"Propanedioic Acid, Bis(phenylmethyl)-",C17H16O4,13000,13
"Propanedioic Acid, Butylethyl-",C9H16O4,30000,30
"Propanedioic Acid, Diethyl-",C7H12O4,650000,650
"Propanedioic Acid, Dihydrazide",C3H8N4O2,100000,100
"Propanedioic Acid, Heptyl-",C10H18O4,1840,1.84
"Propanedioic Acid, Hexyl-",C9H16O4,4150,4.15
"Propanedioic Acid, [(methylamino)methyl]-2-Prope",C8H13NO4,33300,33.3
"Propanedioic Acid, Nonyl-",C12H22O4,115,0.115
"Propanedioic Acid, Oxo-, Diethyl Ester",C7H10O5,566000,566
"Propanenitrile, 2-(acetyloxy)-",C5H7NO2,200000,200
"Propanenitrile, 3- 4- (2-Chloro-4-Nitrophenyl)a",C17H16ClN5O3,27.7,0.0277
Propanil,C9H9Cl2NO,152,0.152
"Propanoic Acid, 2-(1-Oxopropoxy)-, Methyl Ester",C7H12O4,22000,22
"Propanoic Acid, 2,2,3,3-Tetrafluoro-, Sodium Sal",C3HF4NaO2,22000,22
"Propanoic Acid, 2-(2,4,5-Trichlorophenoxy)-, (r)",C9H7Cl3O3,200,0.2
"Propanoic Acid, 2-(2,4-Dichlorophenoxy)-, (r)-",C9H8Cl2O3,590,0.59
"Propanoic Acid, 2,2-Dimethyl-, 4-Nitrophenyl Est",C11H13NO4,600,0.6
"Propanoic Acid, 2,2'-Dithiobis-",C6H10O4S2,24700,24.7
"Propanoic Acid, 2,2'-Dithiobis-, Meso",C6H10O4S2,54200,54.2
"Propanoic Acid, 2,2'-[methylenebis(thio)]bis-, (",C7H12O4S2,3340,3.34
"Propanoic Acid, 2,2'-Selenobis-",C6H10O4Se,31300,31.3
"Propanoic Acid, 2,2'-Selenobis-, (r*,s*)-",C6H10O4Se,57000,57
"Propanoic Acid, 2,2'-Thiobis",C6H10O4S,150000,150
"Propanoic Acid, 2,3-Dimercapto-",C3H6O2S2,80000,80
"Propanoic Acid, 2-(acetyloxy)-, Ethyl Ester",C7H12O4,32000,32
"Propanoic Acid, 2-(acetyloxy)-, Methyl Ester",C6H10O4,80000,80
"Propanoic Acid, 2-(acetyloxy)-, Octyl Ester",C13H24O4,30100,30.1
"Propanoic Acid, 2-Amino-3-(4-Chlorobenzenesulfon",C9H10ClNO4S,774,0.774
"Propanoic Acid, 2-(cyclohexyloxy)-2-Methyl-",C10H18O3,15500,15.5
"Propanoic Acid, 2-[(ethoxythioxomethyl)thio]-",C6H10O3S2,6910,6.91
"Propanoic Acid, 2-Hydroxy-, 1-Methyl-2-Oxo-2-(2-",C9H14O5,42000,42
"Propanoic Acid, 2-Hydroxy-, 2-Butoxy-1-Methyl-2-",C10H18O5,9200,9.2
"Propanoic Acid, 2-Hydroxy-, 2-(hexyloxy)-1-Methy",C12H22O5,800,0.8
"Propanoic Acid, 2-Hydroxy-2-Methyl-, 1-Methyleth",C7H14O3,150000,150
"Propanoic Acid, 2-Hydroxy-2-Methyl-, 2-Phenyleth",C12H16O3,5000,5
"Propanoic Acid, 2-Hydroxy-2-Methyl-, Pentyl Este",C9H18O3,10000,10
"Propanoic Acid, 2-Hydroxy-2-Methyl-, Propyl Este",C7H14O3,100000,100
"Propanoic Acid, 2-Hydroxy-, Hexyl Ester",C9H18O2,12700,12.7
"Propanoic Acid, 2-Hydroxy-, Octyl Ester",C11H22O3,10800,10.8
"Propanoic Acid, 2-[(methoxycarbonyl)oxy]-, Methy",C6H10O5,40700,40.7
"Propanoic Acid, 2-Methyl-, 4-Nitrophenyl Ester",C10H11NO4,23,0.023
"Propanoic Acid, 3,3'-Diselenobis-",C6H10O4Se2,1640,1.64
"Propanoic Acid, 3,3'-Selenobis-",C6H10O4Se,4270,4.27
"Propanoic Acid, 3,3'-Sulfonylbis-",C6H10O6S,2270,2.27
"Propanoic Acid, 3,3'-Thiobis-",C6H10O4S,37200,37.2
"Propanoic Acid, 3-Amino-2-Hydroxy-",C3H7NO3,15800,15.8
"Propanoic Acid, 3-Amino-2-Hydroxy-2-Methyl-",C4H9NO3,5500,5.5
"Propanoic Acid, 3-Butoxy-, Butyl Ester",C11H22O3,800,0.8
"Propanoic Acid, 3-Butoxy-, Methyl Ester",C8H16O3,8200,8.2
"Propanoic Acid, 3-Ethoxy-, Butyl Ester",C9H18O3,4000,4
"Propanoic Acid, 3-Ethoxy-, Methyl Ester",C6H12O3,112000,112
"Propanoic Acid, 3-Ethoxy-, Propyl Ester",C8H16O3,15.4,0.0154
"Propanoic Acid, 3-Hydroxy-2-Methyl-, 2,3,3a,4,5,",C19H26O6,2000,2
